station_id,latitude (degrees north),longitude (degrees east),date_time,air_temperature (C°),sea_level_pressure (hPa),wind_speed (m/s),gust_speed (m/s),significant_wave_height (m),dominant_wave_period (s),sea_surface_temperature (C°),wind_speed_cwind (m/s)
2868187,47.34899902,-124.7080002,2013-04-18 00:50:00+00:00,7.199999809,1032.599976,5.0,8.0,1.0,8.0,10.10000038,4.800000191
2868187,47.34899902,-124.7080002,2013-04-18 01:50:00+00:00,6.800000191,1032.300049,4.0,5.0,1.100000024,6.0,10.0,4.800000191
2868187,47.34899902,-124.7080002,2013-04-18 02:50:00+00:00,6.900000095,1031.800049,3.0,4.0,1.100000024,7.0,10.0,4.800000191
2868187,47.34899902,-124.7080002,2013-04-18 03:50:00+00:00,7.0,1031.699951,2.0,3.0,1.0,6.0,9.899999619,4.800000191
2868187,47.34899902,-124.7080002,2013-04-18 04:50:00+00:00,7.099999905,1031.900024,1.0,2.0,0.899999976,8.0,9.899999619,4.800000191
2868187,47.34899902,-124.7080002,2013-04-18 05:50:00+00:00,7.199999809,1031.699951,0.0,1.0,0.899999976,6.0,9.800000191,4.800000191
2868187,47.34899902,-124.7080002,2013-04-18 06:50:00+00:00,7.400000095,1031.400024,3.0,3.0,0.899999976,6.0,9.800000191,4.800000191
2868187,47.34899902,-124.7080002,2013-04-18 07:50:00+00:00,7.400000095,1031.300049,2.0,3.0,0.800000012,6.0,9.800000191,4.800000191
2868187,47.34899902,-124.7080002,2013-04-18 08:50:00+00:00,7.599999905,1031.099976,3.0,4.0,0.800000012,8.0,9.899999619,4.800000191
2868187,47.34899902,-124.7080002,2013-04-18 09:50:00+00:00,7.900000095,1030.699951,4.0,4.0,0.800000012,7.0,9.899999619,4.800000191
2868187,47.34899902,-124.7080002,2013-04-18 10:50:00+00:00,7.900000095,1030.300049,4.0,5.0,0.699999988,7.0,9.899999619,4.800000191
2868187,47.34899902,-124.7080002,2013-04-18 12:50:00+00:00,7.699999809,1029.900024,6.0,7.0,0.800000012,10.0,10.0,4.800000191
2868187,47.34899902,-124.7080002,2013-04-18 13:50:00+00:00,7.699999809,1029.699951,6.0,7.0,0.800000012,10.0,10.0,4.800000191
2868187,47.34899902,-124.7080002,2013-04-18 14:50:00+00:00,8.199999809,1029.599976,7.0,8.0,1.0,10.0,10.0,4.800000191
2868187,47.34899902,-124.7080002,2013-04-18 15:50:00+00:00,8.399999619,1029.699951,8.0,9.0,1.399999976,9.0,10.0,4.800000191
