,latitude_degrees_north,longitude_degrees_east,air_temperature_celsius,sea_level_pressure_hpa,gust_speed_mps,significant_wave_height_m,dominant_wave_period_s,sea_surface_temperature_celsius,wind_speed,buoy2_wind_speed,buoy3_wave_height
2013-04-18 01:00:00+00:00,47.34899902,-124.7080002,7.199999809,1032.599976,8.0,1.0,8.0,10.10000038,5.0,5.199999809,1.100000024
2013-04-18 01:20:00+00:00,47.34899902,-124.7080002,7.199999809,1032.599976,8.0,1.0,8.0,10.10000038,5.0,5.300000191,1.299999952
2013-04-18 01:40:00+00:00,47.34899902,-124.7080002,7.199999809,1032.599976,8.0,1.0,8.0,10.10000038,5.0,5.400000095,1.200000048
2013-04-18 02:00:00+00:00,47.34899902,-124.7080002,6.800000191,1032.300049,5.0,1.100000024,6.0,10.0,4.0,5.199999809,1.200000048
2013-04-18 02:20:00+00:00,47.34899902,-124.7080002,6.800000191,1032.300049,5.0,1.100000024,6.0,10.0,4.0,5.400000095,1.0
2013-04-18 02:40:00+00:00,47.34899902,-124.7080002,6.800000191,1032.300049,5.0,1.100000024,6.0,10.0,4.0,5.5,1.0
2013-04-18 03:00:00+00:00,47.34899902,-124.7080002,6.900000095,1031.800049,4.0,1.100000024,7.0,10.0,3.0,5.300000191,1.0
2013-04-18 03:20:00+00:00,47.34899902,-124.7080002,6.900000095,1031.800049,4.0,1.100000024,7.0,10.0,3.0,5.300000191,1.100000024
2013-04-18 03:40:00+00:00,47.34899902,-124.7080002,6.900000095,1031.800049,4.0,1.100000024,7.0,10.0,3.0,6.0,1.100000024
2013-04-18 04:00:00+00:00,47.34899902,-124.7080002,7.0,1031.699951,3.0,1.0,6.0,9.899999619,2.0,6.0,1.100000024
2013-04-18 04:20:00+00:00,47.34899902,-124.7080002,7.0,1031.699951,3.0,1.0,6.0,9.899999619,2.0,6.0,1.0
2013-04-18 04:40:00+00:00,47.34899902,-124.7080002,7.0,1031.699951,3.0,1.0,6.0,9.899999619,2.0,6.0,1.0
2013-04-18 05:00:00+00:00,47.34899902,-124.7080002,7.099999905,1031.900024,2.0,0.899999976,8.0,9.899999619,1.0,5.800000191,1.0
2013-04-18 05:20:00+00:00,47.34899902,-124.7080002,7.099999905,1031.900024,2.0,0.899999976,8.0,9.899999619,1.0,5.699999809,1.0
2013-04-18 05:40:00+00:00,47.34899902,-124.7080002,7.099999905,1031.900024,2.0,0.899999976,8.0,9.899999619,1.0,5.099999905,1.0
2013-04-18 06:00:00+00:00,47.34899902,-124.7080002,7.199999809,1031.699951,1.0,0.899999976,6.0,9.800000191,0.0,5.099999905,1.0
2013-04-18 06:20:00+00:00,47.34899902,-124.7080002,7.199999809,1031.699951,1.0,0.899999976,6.0,9.800000191,0.0,4.800000191,0.899999976
2013-04-18 06:40:00+00:00,47.34899902,-124.7080002,7.199999809,1031.699951,1.0,0.899999976,6.0,9.800000191,0.0,5.0,0.899999976
2013-04-18 07:00:00+00:00,47.34899902,-124.7080002,7.400000095,1031.400024,3.0,0.899999976,6.0,9.800000191,3.0,4.599999905,0.899999976
2013-04-18 07:20:00+00:00,47.34899902,-124.7080002,7.400000095,1031.400024,3.0,0.899999976,6.0,9.800000191,3.0,4.599999905,0.899999976
2013-04-18 07:40:00+00:00,47.34899902,-124.7080002,7.400000095,1031.400024,3.0,0.899999976,6.0,9.800000191,3.0,4.699999809,0.899999976
2013-04-18 08:00:00+00:00,47.34899902,-124.7080002,7.400000095,1031.300049,3.0,0.800000012,6.0,9.800000191,2.0,5.0,0.899999976
2013-04-18 08:20:00+00:00,47.34899902,-124.7080002,7.400000095,1031.300049,3.0,0.800000012,6.0,9.800000191,2.0,4.800000191,0.899999976
2013-04-18 08:40:00+00:00,47.34899902,-124.7080002,7.400000095,1031.300049,3.0,0.800000012,6.0,9.800000191,2.0,4.199999809,0.800000012
2013-04-18 09:00:00+00:00,47.34899902,-124.7080002,7.599999905,1031.099976,4.0,0.800000012,8.0,9.899999619,3.0,4.5,0.800000012
2013-04-18 09:20:00+00:00,47.34899902,-124.7080002,7.599999905,1031.099976,4.0,0.800000012,8.0,9.899999619,3.0,5.0,0.899999976
2013-04-18 09:40:00+00:00,47.34899902,-124.7080002,7.599999905,1031.099976,4.0,0.800000012,8.0,9.899999619,3.0,5.0,0.899999976
2013-04-18 10:00:00+00:00,47.34899902,-124.7080002,7.900000095,1030.699951,4.0,0.800000012,7.0,9.899999619,4.0,4.699999809,0.899999976
2013-04-18 10:20:00+00:00,47.34899902,-124.7080002,7.900000095,1030.699951,4.0,0.800000012,7.0,9.899999619,4.0,4.300000191,0.800000012
2013-04-18 10:40:00+00:00,47.34899902,-124.7080002,7.900000095,1030.699951,4.0,0.800000012,7.0,9.899999619,4.0,4.199999809,0.800000012
2013-04-18 11:00:00+00:00,47.34899902,-124.7080002,7.900000095,1030.300049,5.0,0.699999988,7.0,9.899999619,4.0,4.300000191,0.800000012
2013-04-18 11:20:00+00:00,47.34899902,-124.7080002,7.900000095,1030.300049,5.0,0.699999988,7.0,9.899999619,4.0,4.199999809,0.800000012
2013-04-18 11:40:00+00:00,47.34899902,-124.7080002,7.900000095,1030.300049,5.0,0.699999988,7.0,9.899999619,4.0,4.5,0.800000012
2013-04-18 12:00:00+00:00,47.34899902,-124.7080002,7.8500000235,1030.20004275,5.5,0.724999994,7.75,9.924999714250001,4.5,3.900000095,0.800000012
2013-04-18 12:20:00+00:00,47.34899902,-124.7080002,7.799999952,1030.1000365,6.0,0.75,8.5,9.9499998095,5.0,3.099999905,0.800000012
2013-04-18 12:40:00+00:00,47.34899902,-124.7080002,7.749999880500001,1030.00003025,6.5,0.775000006,9.25,9.97499990475,5.5,2.400000095,0.800000012
2013-04-18 13:00:00+00:00,47.34899902,-124.7080002,7.699999809,1029.900024,7.0,0.800000012,10.0,10.0,6.0,2.299999952,0.800000012
2013-04-18 13:20:00+00:00,47.34899902,-124.7080002,7.699999809,1029.900024,7.0,0.800000012,10.0,10.0,6.0,2.299999952,0.699999988
2013-04-18 13:40:00+00:00,47.34899902,-124.7080002,7.699999809,1029.900024,7.0,0.800000012,10.0,10.0,6.0,2.0,0.699999988
2013-04-18 14:00:00+00:00,47.34899902,-124.7080002,7.699999809,1029.699951,7.0,0.800000012,10.0,10.0,6.0,1.899999976,0.699999988
2013-04-18 14:20:00+00:00,47.34899902,-124.7080002,7.699999809,1029.699951,7.0,0.800000012,10.0,10.0,6.0,1.700000048,0.699999988
2013-04-18 14:40:00+00:00,47.34899902,-124.7080002,7.699999809,1029.699951,7.0,0.800000012,10.0,10.0,6.0,1.0,0.699999988
2013-04-18 15:00:00+00:00,47.34899902,-124.7080002,8.199999809,1029.599976,8.0,1.0,10.0,10.0,7.0,0.400000006,0.699999988
2013-04-18 15:20:00+00:00,47.34899902,-124.7080002,8.199999809,1029.599976,8.0,1.0,10.0,10.0,7.0,0.0,0.600000024
2013-04-18 15:40:00+00:00,47.34899902,-124.7080002,8.199999809,1029.599976,8.0,1.0,10.0,10.0,7.0,0.100000001,0.699999988
2013-04-18 16:00:00+00:00,47.34899902,-124.7080002,8.399999619,1029.699951,9.0,1.399999976,9.0,10.0,8.0,0.600000024,0.699999988
2013-04-18 16:20:00+00:00,47.34899902,-124.7080002,8.399999619,1029.699951,9.0,1.399999976,9.0,10.0,8.0,1.100000024,0.699999988
2013-04-18 16:40:00+00:00,47.34899902,-124.7080002,8.399999619,1029.699951,9.0,1.399999976,9.0,10.0,8.0,1.600000024,0.699999988
2013-04-18 17:00:00+00:00,47.34899902,-124.7080002,8.600000381,1029.599976,9.0,1.5,8.0,10.0,8.0,1.600000024,0.699999988
2013-04-18 17:20:00+00:00,47.34899902,-124.7080002,8.600000381,1029.599976,9.0,1.5,8.0,10.0,8.0,1.600000024,0.75
2013-04-18 17:40:00+00:00,47.34899902,-124.7080002,8.600000381,1029.599976,9.0,1.5,8.0,10.0,8.0,1.799999952,0.800000012
2013-04-18 18:00:00+00:00,47.34899902,-124.7080002,8.899999619,1029.400024,10.0,1.5,8.0,10.0,8.0,1.600000024,0.800000012
2013-04-18 18:20:00+00:00,47.34899902,-124.7080002,8.899999619,1029.400024,10.0,1.5,8.0,10.0,8.0,2.299999952,0.800000012
2013-04-18 18:40:00+00:00,47.34899902,-124.7080002,8.899999619,1029.400024,10.0,1.5,8.0,10.0,8.0,2.099999905,0.899999976
2013-04-18 19:00:00+00:00,47.34899902,-124.7080002,9.199999809,1029.5,9.0,1.600000024,8.0,10.0,8.0,2.099999905,0.899999976
2013-04-18 19:20:00+00:00,47.34899902,-124.7080002,9.199999809,1029.5,9.0,1.600000024,8.0,10.0,8.0,2.5,0.899999976
2013-04-18 19:40:00+00:00,47.34899902,-124.7080002,9.199999809,1029.5,9.0,1.600000024,8.0,10.0,8.0,2.900000095,1.100000024
2013-04-18 20:00:00+00:00,47.34899902,-124.7080002,9.399999619,1028.900024,9.0,1.700000048,8.0,10.0,8.0,2.700000048,1.100000024
2013-04-18 20:20:00+00:00,47.34899902,-124.7080002,9.399999619,1028.900024,9.0,1.700000048,8.0,10.0,8.0,2.700000048,1.200000048
2013-04-18 20:40:00+00:00,47.34899902,-124.7080002,9.399999619,1028.900024,9.0,1.700000048,8.0,10.0,8.0,3.299999952,1.299999952
2013-04-18 21:00:00+00:00,47.34899902,-124.7080002,9.399999619,1028.400024,8.0,1.600000024,8.0,10.10000038,7.0,3.200000048,1.299999952
2013-04-18 21:20:00+00:00,47.34899902,-124.7080002,9.399999619,1028.400024,8.0,1.600000024,8.0,10.10000038,7.0,3.900000095,1.399999976
2013-04-18 21:40:00+00:00,47.34899902,-124.7080002,9.399999619,1028.400024,8.0,1.600000024,8.0,10.10000038,7.0,4.099999905,1.5
